21	27
14	20
39	14
28	28
32	24
15	15
11	37
11	21
35	12
37	16
31	34
12	13
32	32
31	36
18	15
27	16
21	28
19	32
27	29
35	34
33	31
12	13
13	24
31	11
33	38
27	24
32	37
37	29
33	31
29	38
26	15
30	22
28	26
20	12
14	38
36	25
30	19
20	30
16	31
13	18
19	33
34	14
16	30
26	36
21	38
34	19
36	23
27	38
18	22
19	21
13	15
29	28
34	10
37	36
33	16
21	15
24	32
10	19
27	13
37	22
26	10
21	16
15	27
25	14
21	32
30	20
31	14
26	20
37	21
17	37
17	27
13	13
15	39
29	18
21	28
12	26
36	20
13	18
10	21
22	15
20	39
34	27
18	13
35	31
12	30
11	36
24	20
16	31
28	19
28	14
11	34
33	29
28	18
10	18
17	27
18	23
28	23
27	31
10	27
23	14
