17	1	11
10	1	4
4	1	29
18	1	18
14	1	22
5	1	5
27	1	1
11	1	1
2	1	25
6	1	27
24	1	21
3	1	2
22	1	22
26	1	21
5	1	8
6	1	17
18	1	11
22	1	9
19	1	17
24	1	25
21	1	23
3	1	2
14	1	3
1	1	21
28	1	23
14	1	17
27	1	22
19	1	27
21	1	23
28	1	19
5	1	16
12	1	20
16	1	18
2	1	10
28	1	4
15	1	26
9	1	20
20	1	10
21	1	6
8	1	3
23	1	9
4	1	24
20	1	6
26	1	16
28	1	11
9	1	24
13	1	26
28	1	17
12	1	8
11	1	9
5	1	3
18	1	19
0	1	24
26	1	27
6	1	23
5	1	11
22	1	14
9	1	0
3	1	17
12	1	27
0	1	16
6	1	11
17	1	5
4	1	15
22	1	11
10	1	20
4	1	21
10	1	16
11	1	27
27	1	7
17	1	7
3	1	3
29	1	5
8	1	19
18	1	11
16	1	2
10	1	26
8	1	3
11	1	0
5	1	12
29	1	10
17	1	24
3	1	8
21	1	25
20	1	2
26	1	1
10	1	14
21	1	6
9	1	18
4	1	18
24	1	1
19	1	23
8	1	18
8	1	0
17	1	7
13	1	8
13	1	18
21	1	17
17	1	0
4	1	13
17	1	11
10	1	4
4	1	29
18	1	18
14	1	22
5	1	5
27	1	1
11	1	1
2	1	25
6	1	27
24	1	21
3	1	2
22	1	22
26	1	21
5	1	8
6	1	17
18	1	11
22	1	9
19	1	17
24	1	25
21	1	23
3	1	2
14	1	3
1	1	21
28	1	23
14	1	17
27	1	22
19	1	27
21	1	23
28	1	19
5	1	16
12	1	20
16	1	18
2	1	10
28	1	4
15	1	26
9	1	20
20	1	10
21	1	6
8	1	3
23	1	9
4	1	24
20	1	6
26	1	16
28	1	11
9	1	24
13	1	26
28	1	17
12	1	8
11	1	9
5	1	3
18	1	19
0	1	24
26	1	27
6	1	23
5	1	11
22	1	14
9	1	0
3	1	17
12	1	27
0	1	16
6	1	11
17	1	5
4	1	15
22	1	11
10	1	20
4	1	21
10	1	16
11	1	27
27	1	7
17	1	7
3	1	3
29	1	5
8	1	19
18	1	11
16	1	2
10	1	26
8	1	3
11	1	0
5	1	12
29	1	10
17	1	24
3	1	8
21	1	25
20	1	2
26	1	1
10	1	14
21	1	6
9	1	18
4	1	18
24	1	1
19	1	23
8	1	18
8	1	0
17	1	7
13	1	8
13	1	18
21	1	17
17	1	0
4	1	13
17	1	11
10	1	4
4	1	29
18	1	18
14	1	22
5	1	5
27	1	1
11	1	1
2	1	25
6	1	27
24	1	21
3	1	2
22	1	22
26	1	21
5	1	8
6	1	17
18	1	11
22	1	9
19	1	17
24	1	25
21	1	23
3	1	2
14	1	3
1	1	21
28	1	23
14	1	17
27	1	22
19	1	27
21	1	23
28	1	19
5	1	16
12	1	20
16	1	18
2	1	10
28	1	4
15	1	26
9	1	20
20	1	10
21	1	6
8	1	3
23	1	9
4	1	24
20	1	6
26	1	16
28	1	11
9	1	24
13	1	26
28	1	17
12	1	8
11	1	9
5	1	3
18	1	19
0	1	24
26	1	27
6	1	23
5	1	11
22	1	14
9	1	0
3	1	17
12	1	27
0	1	16
6	1	11
17	1	5
4	1	15
22	1	11
10	1	20
4	1	21
10	1	16
11	1	27
27	1	7
17	1	7
3	1	3
29	1	5
8	1	19
18	1	11
16	1	2
10	1	26
8	1	3
11	1	0
5	1	12
29	1	10
17	1	24
3	1	8
21	1	25
20	1	2
26	1	1
10	1	14
21	1	6
9	1	18
4	1	18
24	1	1
19	1	23
8	1	18
8	1	0
17	1	7
13	1	8
13	1	18
21	1	17
17	1	0
4	1	13
